Country,Origin,Year,Month,Value
Australia,Burundi,2016,November,6
Australia,Palestinian,2016,February,15
Australia,Palestinian,2016,April,5
Australia,Palestinian,2016,May,15
Australia,Palestinian,2016,July,6
Australia,Palestinian,2016,August,24
Australia,Palestinian,2016,September,10
Australia,Palestinian,2016,October,8
Australia,Palestinian,2016,December,12
Albania,Afghanistan,2016,June,18
Albania,Afghanistan,2016,July,19
Albania,Afghanistan,2016,November,27
Albania,Dem. Rep. of the Congo,2016,February,*
Albania,Dem. Rep. of the Congo,2016,April,*
Albania,Ghana,2016,April,*
Albania,Guinea,2016,July,*
Albania,Iran (Islamic Rep. of),2016,February,42
Albania,Iran (Islamic Rep. of),2016,April,60
Albania,Iran (Islamic Rep. of),2016,May,180
Albania,Iran (Islamic Rep. of),2016,June,174
Albania,Iran (Islamic Rep. of),2016,July,346
Albania,Iran (Islamic Rep. of),2016,August,587
Albania,Iran (Islamic Rep. of),2016,September,553
Albania,Iraq,2016,January,*
Albania,Iraq,2016,October,19
Albania,Iraq,2016,November,7
Australia,Indonesia,2016,January,33
Australia,Indonesia,2016,February,24
Australia,Indonesia,2016,March,18
Australia,Indonesia,2016,April,14
Australia,Indonesia,2016,May,25
Australia,Indonesia,2016,June,20
Australia,Indonesia,2016,July,16
Australia,Indonesia,2016,August,34
Australia,Indonesia,2016,September,23
Australia,Indonesia,2016,October,18
Australia,Indonesia,2016,November,36
Australia,Indonesia,2016,December,59
Australia,United Kingdom of Great Britain and Northern Ireland,2016,April,5
Australia,Dem. Rep. of the Congo,2016,February,5
Albania,The former Yugoslav Rep. of Macedonia,2016,August,*
Albania,Mali,2016,July,*
Albania,Pakistan,2016,September,*
Albania,Pakistan,2016,November,*
Albania,Syrian Arab Rep.,2016,May,16
Albania,Syrian Arab Rep.,2016,August,23
Albania,Syrian Arab Rep.,2016,September,85
Albania,Syrian Arab Rep.,2016,October,8
Albania,Tunisia,2016,May,*
Albania,Turkey,2016,April,*
Albania,Turkey,2016,December,*
Albania,Ukraine,2016,October,*
Australia,Bangladesh,2016,January,25
Australia,Bangladesh,2016,February,25
Australia,Bangladesh,2016,March,25
Australia,Bangladesh,2016,April,42
Australia,Bangladesh,2016,May,60
Australia,Bangladesh,2016,June,35
Australia,Bangladesh,2016,July,36
Australia,Bangladesh,2016,August,45
Australia,Bangladesh,2016,September,47
Australia,Bangladesh,2016,October,27
Australia,Bangladesh,2016,November,21
Australia,Bangladesh,2016,December,47
Australia,Bhutan,2016,July,5
Australia,Colombia,2016,May,22
Australia,Colombia,2016,July,5
Australia,Colombia,2016,November,9
Australia,Colombia,2016,December,5
Australia,Afghanistan,2016,January,84
Australia,Afghanistan,2016,February,185
Australia,Afghanistan,2016,March,192
Australia,Afghanistan,2016,April,196
Australia,Afghanistan,2016,May,294
Australia,Afghanistan,2016,June,224
Australia,Afghanistan,2016,July,176
Australia,Afghanistan,2016,August,210
Australia,Afghanistan,2016,September,208
Australia,Afghanistan,2016,October,231
Australia,Afghanistan,2016,November,286
Australia,Afghanistan,2016,December,276
Australia,Ghana,2016,February,5
Australia,Ghana,2016,March,9
Australia,Ghana,2016,May,7
Australia,Ghana,2016,June,7
Australia,Ghana,2016,September,6
Australia,Greece,2016,August,5
Australia,Iran (Islamic Rep. of),2016,January,122
Australia,Iran (Islamic Rep. of),2016,February,180
Australia,Iran (Islamic Rep. of),2016,March,195
Australia,Iran (Islamic Rep. of),2016,April,212
Australia,Iran (Islamic Rep. of),2016,May,266
Australia,Iran (Islamic Rep. of),2016,June,217
Australia,Iran (Islamic Rep. of),2016,July,190
Australia,Iran (Islamic Rep. of),2016,August,197
Australia,Iran (Islamic Rep. of),2016,September,304
Australia,Iran (Islamic Rep. of),2016,October,325
Australia,Iran (Islamic Rep. of),2016,November,358
Australia,Iran (Islamic Rep. of),2016,December,410
Australia,Cambodia,2016,February,7
Australia,Cambodia,2016,April,5
Australia,Cambodia,2016,May,7
Australia,Cambodia,2016,June,6
Australia,Cambodia,2016,July,7
Australia,Cambodia,2016,September,6
Australia,Cambodia,2016,October,12
Australia,Cambodia,2016,November,5
Australia,Cambodia,2016,December,15
Australia,Albania,2016,May,13
Australia,Albania,2016,November,8
Australia,Iraq,2016,January,70
Australia,Iraq,2016,February,114
Australia,Iraq,2016,March,159
Australia,Iraq,2016,April,103
Australia,Iraq,2016,May,130
Australia,Iraq,2016,June,116
Australia,Iraq,2016,July,115
Australia,Iraq,2016,August,113
Australia,Iraq,2016,September,109
Australia,Iraq,2016,October,143
Australia,Iraq,2016,November,124
Australia,Iraq,2016,December,90
Australia,Italy,2016,February,6
Australia,Ethiopia,2016,February,9
Australia,Ethiopia,2016,March,9
Australia,Ethiopia,2016,May,7
Australia,Ethiopia,2016,June,7
Australia,Ethiopia,2016,August,18
Australia,Ethiopia,2016,September,13
Australia,Ethiopia,2016,November,22
Australia,Ethiopia,2016,December,5
Australia,"China, Hong Kong SAR",2016,March,5
Australia,"China, Hong Kong SAR",2016,May,8
Australia,Fiji,2016,January,16
Australia,Fiji,2016,February,33
Australia,Fiji,2016,March,53
Australia,Fiji,2016,April,42
Australia,Fiji,2016,May,35
Australia,Fiji,2016,June,37
Australia,Fiji,2016,July,22
Australia,Fiji,2016,August,35
Australia,Fiji,2016,September,31
Australia,Fiji,2016,October,10
Australia,Fiji,2016,November,62
Australia,Fiji,2016,December,14
Australia,China,2016,January,92
Australia,China,2016,February,119
Australia,China,2016,March,161
Australia,China,2016,April,144
Australia,China,2016,May,164
Australia,China,2016,June,149
Australia,China,2016,July,177
Australia,China,2016,August,174
Australia,China,2016,September,198
Australia,China,2016,October,152
Australia,China,2016,November,240
Australia,China,2016,December,166
Australia,Egypt,2016,February,8
Australia,Egypt,2016,March,13
Australia,Egypt,2016,April,11
Australia,Egypt,2016,May,10
Australia,Egypt,2016,June,8
Australia,Egypt,2016,August,12
Australia,Egypt,2016,September,16
Australia,Egypt,2016,October,6
Australia,Egypt,2016,December,18
Australia,India,2016,January,62
Australia,India,2016,February,48
Australia,India,2016,March,63
Australia,India,2016,April,111
Australia,India,2016,May,146
Australia,India,2016,June,123
Australia,India,2016,July,87
Australia,India,2016,August,116
Australia,India,2016,September,96
Australia,India,2016,October,98
Australia,India,2016,November,75
Australia,India,2016,December,99
Australia,France,2016,September,5
Australia,France,2016,November,5
Australia,Azerbaijan,2016,September,5
Australia,Solomon Islands,2016,January,6
Australia,Solomon Islands,2016,March,9
Australia,Solomon Islands,2016,June,6
Australia,Solomon Islands,2016,August,7
Australia,Solomon Islands,2016,September,5
Australia,Solomon Islands,2016,November,7
Australia,Somalia,2016,January,5
Australia,Somalia,2016,February,5
Australia,Somalia,2016,September,17
Australia,Somalia,2016,October,13
Australia,Somalia,2016,November,11
Australia,Somalia,2016,December,15
Australia,Viet Nam,2016,January,26
Australia,Viet Nam,2016,February,37
Australia,Viet Nam,2016,March,44
Australia,Viet Nam,2016,April,40
Australia,Viet Nam,2016,May,48
Australia,Viet Nam,2016,June,71
Australia,Viet Nam,2016,July,62
Australia,Viet Nam,2016,August,67
Australia,Viet Nam,2016,September,87
Australia,Viet Nam,2016,October,105
Australia,Viet Nam,2016,November,82
Australia,Viet Nam,2016,December,109
Australia,Myanmar,2016,March,5
Australia,Myanmar,2016,October,8
Australia,Myanmar,2016,November,8
Australia,Myanmar,2016,December,15
Australia,Jordan,2016,February,6
Australia,Jordan,2016,April,6
Australia,Jordan,2016,June,7
Australia,Jordan,2016,August,6
Australia,Philippines,2016,February,10
Australia,Philippines,2016,March,7
Australia,Philippines,2016,April,11
Australia,Philippines,2016,June,13
Australia,Sri Lanka,2016,January,211
Australia,Sri Lanka,2016,February,316
Australia,Sri Lanka,2016,March,286
Australia,Sri Lanka,2016,April,269
Australia,Sri Lanka,2016,May,210
Australia,Sri Lanka,2016,June,187
Australia,Sri Lanka,2016,July,168
Australia,Sri Lanka,2016,August,216
Australia,Sri Lanka,2016,September,216
Australia,Sri Lanka,2016,October,179
Australia,Sri Lanka,2016,November,217
Australia,Sri Lanka,2016,December,190
Australia,Stateless,2016,January,31
Australia,Stateless,2016,February,66
Australia,Stateless,2016,March,39
Australia,Stateless,2016,April,37
Australia,Stateless,2016,May,59
Australia,Stateless,2016,June,27
Australia,Stateless,2016,July,44
Australia,Stateless,2016,August,61
Australia,Stateless,2016,September,71
Australia,Stateless,2016,October,52
Australia,Stateless,2016,November,105
Australia,Stateless,2016,December,137
Australia,Sudan,2016,April,6
Australia,Sudan,2016,May,16
Australia,Sudan,2016,June,13
Australia,Sudan,2016,July,9
Australia,Sudan,2016,August,19
Australia,Sudan,2016,September,27
Australia,Sudan,2016,October,15
Australia,Sudan,2016,November,34
Australia,Sudan,2016,December,38
Australia,Philippines,2016,July,5
Australia,Nepal,2016,January,12
Australia,Nepal,2016,February,13
Australia,Nepal,2016,March,20
